"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  "
"ICICIBANK","EQ","30-Dec-2022","908.05","908.50","908.50","888.55","892.95","890.85","895.26","96,88,527","8,67,37,18,142.55","1,71,992"
"ICICIBANK","EQ","29-Dec-2022","898.95","897.90","923.35","889.35","908.00","908.05","901.32","1,19,94,220","10,81,06,76,472.85","1,85,537"
"ICICIBANK","EQ","28-Dec-2022","900.65","896.00","903.95","895.80","898.55","898.95","900.03","89,80,300","8,08,24,99,124.05","1,72,803"
"ICICIBANK","EQ","27-Dec-2022","893.20","897.70","902.75","888.20","902.40","900.65","894.77","49,94,381","4,46,88,25,838.65","1,40,858"
"ICICIBANK","EQ","26-Dec-2022","878.90","881.10","897.00","875.25","893.50","893.20","886.90","69,43,159","6,15,78,93,509.20","1,64,660"
"ICICIBANK","EQ","23-Dec-2022","890.65","883.05","889.65","875.30","877.60","878.90","882.07","1,10,59,215","9,75,49,83,095.10","2,12,266"
"ICICIBANK","EQ","22-Dec-2022","892.25","900.50","903.85","886.35","890.40","890.65","891.61","97,88,367","8,72,73,87,624.60","1,93,085"
"ICICIBANK","EQ","21-Dec-2022","909.70","910.25","915.85","887.00","893.60","892.25","899.25","1,13,41,147","10,19,85,07,174.85","2,04,493"
"ICICIBANK","EQ","20-Dec-2022","906.45","906.00","912.45","895.70","910.30","909.70","902.50","63,84,331","5,76,18,75,439.25","1,70,377"
"ICICIBANK","EQ","19-Dec-2022","902.00","908.00","910.60","901.15","906.95","906.45","905.59","70,15,083","6,35,28,14,383.75","1,71,206"
"ICICIBANK","EQ","16-Dec-2022","908.80","905.50","913.70","899.65","904.80","902.00","904.37","91,57,260","8,28,15,55,244.65","1,64,054"
"ICICIBANK","EQ","15-Dec-2022","921.75","916.00","919.90","905.00","905.75","908.80","915.06","89,29,748","8,17,12,68,105.35","2,23,689"
"ICICIBANK","EQ","14-Dec-2022","932.95","936.00","936.05","920.00","921.00","921.75","926.88","1,23,19,827","11,41,89,77,888.25","2,51,119"
"ICICIBANK","EQ","13-Dec-2022","930.30","929.50","935.90","927.80","932.65","932.95","932.16","1,04,15,140","9,70,85,26,755.65","2,14,803"
"ICICIBANK","EQ","12-Dec-2022","929.90","925.05","933.90","925.05","931.45","930.30","929.49","84,93,863","7,89,49,65,642.05","1,86,060"
"ICICIBANK","EQ","09-Dec-2022","931.90","932.00","934.80","925.05","930.25","929.90","929.77","95,75,331","8,90,28,41,019.45","1,98,805"
"ICICIBANK","EQ","08-Dec-2022","922.15","925.00","933.55","923.80","933.20","931.90","928.62","1,01,36,870","9,41,32,60,723.95","2,30,964"
"ICICIBANK","EQ","07-Dec-2022","922.65","922.00","933.20","920.65","923.00","922.15","925.10","1,56,75,663","14,50,15,90,969.30","2,93,451"
"ICICIBANK","EQ","06-Dec-2022","933.60","925.00","929.75","920.20","922.30","922.65","923.50","1,82,20,912","16,82,69,84,129.25","2,97,290"
"ICICIBANK","EQ","05-Dec-2022","930.60","937.00","937.00","928.40","933.90","933.60","932.34","1,09,84,608","10,24,14,03,399.55","2,52,201"
"ICICIBANK","EQ","02-Dec-2022","940.20","928.25","934.50","926.10","929.00","930.60","929.76","1,42,28,874","13,22,93,70,582.80","2,85,525"
"ICICIBANK","EQ","01-Dec-2022","952.90","956.00","957.00","936.25","939.45","940.20","943.02","1,59,20,653","15,01,35,57,080.95","3,57,956"
"ICICIBANK","EQ","30-Nov-2022","946.75","948.05","958.20","941.00","952.50","952.90","949.62","2,08,58,573","19,80,77,99,762.10","2,80,362"
"ICICIBANK","EQ","29-Nov-2022","937.40","933.55","949.90","933.55","946.85","946.75","947.15","1,30,96,845","12,40,46,81,919.65","2,44,003"
"ICICIBANK","EQ","28-Nov-2022","930.30","924.00","943.80","923.95","936.25","937.40","937.26","93,81,474","8,79,28,94,852.00","1,76,335"
"ICICIBANK","EQ","25-Nov-2022","938.85","940.30","942.90","927.50","930.00","930.30","933.39","98,15,055","9,16,12,51,493.10","1,35,171"
"ICICIBANK","EQ","24-Nov-2022","927.45","927.55","940.65","927.55","939.00","938.85","934.54","1,08,44,395","10,13,45,61,085.30","1,64,966"
"ICICIBANK","EQ","23-Nov-2022","923.70","927.00","931.85","923.70","926.50","927.45","927.21","1,09,59,704","10,16,19,73,011.95","1,45,719"
"ICICIBANK","EQ","22-Nov-2022","921.40","923.75","926.50","920.40","922.65","923.70","924.17","1,12,56,509","10,40,29,63,206.05","1,73,058"
"ICICIBANK","EQ","21-Nov-2022","920.35","914.05","924.80","914.05","921.00","921.40","921.41","92,45,704","8,51,90,92,468.35","1,61,261"
"ICICIBANK","EQ","18-Nov-2022","919.80","919.80","922.00","910.55","921.00","920.35","915.43","1,08,74,061","9,95,44,73,141.40","2,27,721"
"ICICIBANK","EQ","17-Nov-2022","913.60","913.00","922.30","910.35","919.00","919.80","919.26","1,25,84,194","11,56,81,99,753.85","1,81,213"
"ICICIBANK","EQ","16-Nov-2022","911.70","912.55","918.10","908.10","912.75","913.60","912.91","1,30,08,311","11,87,54,76,243.80","1,89,926"
"ICICIBANK","EQ","15-Nov-2022","894.95","900.55","913.65","898.80","913.20","911.70","907.00","1,51,76,911","13,76,54,21,493.50","2,17,251"
"ICICIBANK","BL","14-Nov-2022","926.30","906.55","906.55","906.55","906.55","906.55","906.55","72,79,023","6,59,87,98,300.65","1"
"ICICIBANK","EQ","14-Nov-2022","906.55","905.00","906.55","891.25","894.10","894.95","895.92","1,26,41,308","11,32,55,65,904.75","2,58,453"
"ICICIBANK","EQ","11-Nov-2022","910.70","925.90","928.00","903.50","907.35","906.55","911.75","1,79,21,457","16,33,98,58,260.10","2,58,767"
"ICICIBANK","EQ","10-Nov-2022","910.50","907.55","912.95","903.95","910.00","910.70","908.10","1,00,09,741","9,08,98,81,670.65","1,91,241"
