"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  "
"RELIANCE","EQ","30-Dec-2022","2,543.30","2,545.10","2,577.00","2,541.10","2,547.00","2,547.20","2,559.73","33,64,092","8,61,11,63,857.75","1,47,642"
"RELIANCE","EQ","29-Dec-2022","2,544.45","2,527.00","2,548.90","2,525.50","2,544.95","2,543.30","2,536.86","31,98,493","8,11,41,44,680.25","1,24,496"
"RELIANCE","EQ","28-Dec-2022","2,544.70","2,538.00","2,549.80","2,521.50","2,542.00","2,544.45","2,537.68","34,42,509","8,73,59,79,365.75","1,58,888"
"RELIANCE","EQ","27-Dec-2022","2,524.05","2,530.00","2,548.80","2,515.25","2,542.70","2,544.70","2,534.62","26,59,749","6,74,14,52,650.05","1,38,609"
"RELIANCE","EQ","26-Dec-2022","2,502.20","2,514.75","2,542.00","2,492.40","2,525.00","2,524.05","2,523.81","27,64,496","6,97,70,59,265.30","1,17,927"
"RELIANCE","EQ","23-Dec-2022","2,577.80","2,563.30","2,590.50","2,492.25","2,508.50","2,502.20","2,540.02","47,33,657","12,02,35,88,105.45","2,31,798"
"RELIANCE","EQ","22-Dec-2022","2,584.50","2,598.00","2,604.65","2,566.75","2,577.00","2,577.80","2,582.55","34,38,692","8,88,05,81,065.90","1,49,770"
"RELIANCE","EQ","21-Dec-2022","2,621.80","2,621.00","2,633.00","2,576.10","2,583.20","2,584.50","2,601.19","39,35,463","10,23,68,89,380.75","1,42,775"
"RELIANCE","EQ","20-Dec-2022","2,599.30","2,583.90","2,626.00","2,566.00","2,619.95","2,621.80","2,594.80","34,46,291","8,94,24,20,886.85","1,65,894"
"RELIANCE","EQ","19-Dec-2022","2,565.60","2,581.00","2,604.00","2,566.70","2,603.00","2,599.30","2,582.95","35,67,363","9,21,43,19,519.75","1,74,281"
"RELIANCE","EQ","16-Dec-2022","2,578.35","2,571.00","2,618.80","2,558.15","2,567.90","2,565.60","2,583.46","73,08,934","18,88,23,67,676.10","2,16,883"
"RELIANCE","EQ","15-Dec-2022","2,615.50","2,602.50","2,615.00","2,571.00","2,580.00","2,578.35","2,590.74","40,09,765","10,38,82,61,664.65","1,75,220"
"RELIANCE","EQ","14-Dec-2022","2,625.00","2,637.65","2,638.95","2,611.00","2,613.50","2,615.50","2,620.85","33,54,618","8,79,19,39,261.60","1,49,123"
"RELIANCE","EQ","13-Dec-2022","2,613.10","2,613.10","2,633.00","2,606.70","2,622.00","2,625.00","2,622.04","38,45,839","10,08,39,40,253.45","1,36,575"
"RELIANCE","EQ","12-Dec-2022","2,609.10","2,585.50","2,623.00","2,585.00","2,617.00","2,613.10","2,607.23","43,74,946","11,40,65,08,900.60","1,51,760"
"RELIANCE","EQ","09-Dec-2022","2,649.25","2,646.00","2,660.00","2,601.85","2,609.50","2,609.10","2,627.54","58,40,633","15,34,64,88,528.00","1,72,574"
"RELIANCE","EQ","08-Dec-2022","2,650.50","2,660.00","2,665.00","2,640.10","2,649.00","2,649.25","2,651.78","35,79,858","9,49,29,88,488.55","1,44,130"
"RELIANCE","EQ","07-Dec-2022","2,690.20","2,685.00","2,695.00","2,642.15","2,647.00","2,650.50","2,665.31","39,05,263","10,40,87,39,251.40","1,58,784"
"RELIANCE","EQ","06-Dec-2022","2,682.45","2,665.10","2,697.00","2,661.00","2,689.45","2,690.20","2,685.66","39,66,243","10,65,19,99,752.80","1,56,158"
"RELIANCE","EQ","05-Dec-2022","2,722.15","2,712.00","2,716.75","2,678.00","2,682.00","2,682.45","2,694.53","68,43,367","18,43,96,68,158.05","2,27,194"
"RELIANCE","EQ","02-Dec-2022","2,723.30","2,730.00","2,748.00","2,700.60","2,727.00","2,722.15","2,725.02","53,48,595","14,57,50,17,227.75","2,04,222"
"RELIANCE","EQ","01-Dec-2022","2,731.35","2,741.80","2,755.00","2,716.00","2,725.25","2,723.30","2,738.93","43,77,696","11,99,02,09,635.60","1,77,158"
"RELIANCE","EQ","30-Nov-2022","2,712.20","2,712.50","2,745.45","2,698.20","2,733.05","2,731.35","2,727.09","1,20,75,137","32,92,99,88,867.00","2,76,976"
"RELIANCE","EQ","29-Nov-2022","2,707.55","2,703.95","2,731.65","2,694.00","2,708.35","2,712.20","2,713.16","51,03,687","13,84,71,36,356.65","2,17,704"
"RELIANCE","EQ","28-Nov-2022","2,617.60","2,608.90","2,721.05","2,502.00","2,706.00","2,707.55","2,686.06","1,45,49,929","39,08,19,53,191.85","3,22,273"
"RELIANCE","EQ","25-Nov-2022","2,579.10","2,589.00","2,624.90","2,582.10","2,612.75","2,617.60","2,605.35","33,91,988","8,83,73,31,953.30","1,28,621"
"RELIANCE","EQ","24-Nov-2022","2,557.05","2,566.00","2,594.00","2,548.20","2,588.00","2,579.10","2,564.10","43,33,225","11,11,08,42,573.85","1,54,377"
"RELIANCE","EQ","23-Nov-2022","2,565.05","2,575.00","2,577.90","2,552.25","2,557.50","2,557.05","2,561.22","29,59,787","7,58,06,60,698.90","1,21,346"
"RELIANCE","EQ","22-Nov-2022","2,550.90","2,545.00","2,568.50","2,536.50","2,564.90","2,565.05","2,556.94","30,51,201","7,80,17,36,581.00","1,38,342"
"RELIANCE","EQ","21-Nov-2022","2,597.65","2,588.00","2,588.00","2,543.10","2,548.00","2,550.90","2,556.28","29,49,108","7,53,87,48,417.35","1,31,742"
"RELIANCE","EQ","18-Nov-2022","2,599.05","2,606.75","2,609.00","2,571.10","2,597.05","2,597.65","2,589.31","24,47,425","6,33,71,49,845.85","1,04,090"
"RELIANCE","EQ","17-Nov-2022","2,592.35","2,584.95","2,613.00","2,580.00","2,598.95","2,599.05","2,599.58","30,74,259","7,99,17,93,077.85","1,15,328"
"RELIANCE","EQ","16-Nov-2022","2,607.30","2,610.00","2,615.95","2,581.35","2,592.95","2,592.35","2,601.87","44,84,007","11,66,68,07,298.05","1,45,159"
"RELIANCE","EQ","15-Nov-2022","2,619.05","2,622.30","2,626.40","2,590.00","2,607.20","2,607.30","2,603.39","32,70,388","8,51,41,00,480.75","1,57,977"
"RELIANCE","EQ","14-Nov-2022","2,631.80","2,630.75","2,642.00","2,605.15","2,614.65","2,619.05","2,624.26","41,73,395","10,95,20,68,321.50","1,85,791"
"RELIANCE","EQ","11-Nov-2022","2,572.50","2,600.00","2,636.00","2,588.00","2,630.00","2,631.80","2,614.60","56,81,124","14,85,38,80,989.55","2,16,539"
"RELIANCE","EQ","10-Nov-2022","2,604.00","2,590.00","2,596.55","2,563.00","2,572.35","2,572.50","2,575.91","27,53,420","7,09,25,62,040.10","1,33,955"
"RELIANCE","EQ","09-Nov-2022","2,606.60","2,610.30","2,621.95","2,590.05","2,593.70","2,604.00","2,610.46","51,93,814","13,55,82,51,214.20","1,66,982"
"RELIANCE","EQ","07-Nov-2022","2,592.75","2,591.00","2,610.30","2,574.00","2,604.00","2,606.60","2,595.94","54,40,967","14,12,44,30,758.45","1,95,001"
"RELIANCE","EQ","04-Nov-2022","2,555.15","2,553.90","2,600.00","2,551.10","2,594.20","2,592.75","2,582.57","58,03,737","14,98,85,68,897.45","1,72,676"
"RELIANCE","EQ","03-Nov-2022","2,545.65","2,529.85","2,559.55","2,525.05","2,552.00","2,555.15","2,546.83","30,89,026","7,86,72,09,428.75","1,22,250"
"RELIANCE","BL","03-Nov-2022","2,370.70","2,545.65","2,545.65","2,545.65","2,545.65","2,545.65","2,545.65","46,55,522","11,85,13,29,579.30","1"
